Organization,Project Name,Project (sq.ft.),Project Address,Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State
,Murchison Middle School Addition and Renovation,79996,3700 NORTH HILLS DR,78731,0,0,1,0,0,3-star,,School,,Yes,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.75860302 30.354128983),30,240,10/01/2021,09/30/2022,Austin,TX
,AISD Timy Baranoff Elementary School Addition,12000,12009 BUCKINGHAM GATE RD,78748,0,0,1,0,0,3-star,,School,,Yes,Commercial,AISD Rating 2006,2011,,POINT (-97.851911959 30.153510016),1,,10/01/2010,09/30/2011,Austin,TX
,Family Christian Stores at Mueller,4415,1201 BARBARA JORDAN BLVD UNIT 600,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.70985999 30.30557002),1,,10/01/2008,09/30/2009,Austin,TX
,AISD Akins High School Addition #2,15553,10701 S 1ST ST,78748,0,0,0,1,0,4-star,,School,,Yes,Commercial,Commercial Rating 2009,2011,,POINT (-97.800974966 30.148788993),1,,10/01/2010,09/30/2011,Austin,TX
,Maravilla at The Domain,285024,11001 Austin Ln,78758,0,0,0,0,0,,Silver,Other,Domain (PDA),No,Commercial,LEED BD+C: New Construction v3 - LEED 2009,2021,,POINT (-97.72480199 30.39584802),11,232,10/01/2020,09/30/2021,Austin,TX
,John Gaines Park and Amenities Center,3675,2708 SORIN ST,78723,0,0,0,1,0,4-star,,Other,Mueller Development (PUD),No,Commercial,Commercial Rating 2013,2017,,POINT (-97.696573853 30.292948309),1,,10/01/2016,09/30/2017,Austin,TX
,Famous Footwear at Mueller,6495,1201 BARBARA JORDAN BLVD 4 UNIT 450,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2010,,POINT (-97.70985999 30.30557002),1,,10/01/2009,09/30/2010,Austin,TX
,Lupe Tortilla Mexican Restaurant,6614,10515 N MOPAC EXPY VRD NB A UNIT 165,78759,1,0,0,0,0,1-star,,Restaurant,North Burnet/Gateway,No,Commercial,Commercial Rating 2010,2017,,POINT (-97.732443017 30.389556983),1,,10/01/2016,09/30/2017,Austin,TX
,Robert E. Johnson State Office Building,320000,1501 CONGRESS AVE,78701,0,0,1,0,0,3-star,,Office,,Yes,Commercial,Pilot Commercial Rating,2000,,POINT (-97.738633974 30.277215005),6,,10/01/1999,09/30/2000,Austin,TX
,9Red - Indigo and Holiday Inn Express Hotel,174448,805 NECHES ST,78701,1,0,0,0,0,1-star,,Hotel,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2018,,POINT (-97.736672022 30.269171982),10,,10/01/2017,09/30/2018,Austin,TX
,Texas Association of Counties,43222,1204 SAN ANTONIO ST,78701,0,1,0,0,0,2-star,,Office,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.745365984 30.275712004),4,0,10/01/2020,09/30/2021,Austin,TX
,St. David's North Austin Medical Center,90650,12221 N MOPAC EXPY SVRD NB,78758,0,1,0,0,0,2-star,,Health Care,North Austin Medical Center,No,Commercial,Commercial Rating 2010,2015,,POINT (-97.707943084 30.412279184),2,,10/01/2014,09/30/2015,Austin,TX
,Ruckus 2.0,106077,620 W 24TH ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Commercial,COMMERCIAL RATING 2016,2019,,POINT (-97.744348002 30.288183983),7,67,10/01/2018,09/30/2019,Austin,TX
,Capitol Quarters,42744,1108 NUECES ST,78701,0,0,0,1,0,4-star,,Residential/ Retail,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.746709016 30.275067981),4,146,10/01/2021,09/30/2022,Austin,TX
,Shoal Creek Walk,230665,835 W 6TH ST,78703,0,1,0,0,0,2-star,,Office/ Retail,"Downtown (CBD-DMU), Downtown CURE (CBD-CURE)",No,Commercial,Commercial Rating 2010,2019,,POINT (-97.752409967 30.270535005),15,,10/01/2018,09/30/2019,Austin,TX
,Hanover Republic Square,454078,303 W 5TH ST,78701,0,1,0,0,0,2-star,,Residential/ Restaurant,"Downtown (CBD-DMU), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.745992028 30.267629),46,310,10/01/2022,09/30/2023,Austin,TX
,Texas Children's Hospital North Campus,535000,9835 N LAKE CREEK PKWY,78717,0,0,1,0,0,3-star,,Health Care,Leander Rehabilitation (PUD),No,Commercial,COMMERCIAL RATING 2016,2024,,POINT (-97.790085114 30.473909984),5,,10/01/2023,09/30/2024,Austin,TX
,Michael & Susan Dell Foundation,30567,4417 WESTLAKE DR C,78746,0,0,0,1,0,4-star,,Office,Davenport (PUD),No,Commercial,COMMERCIAL RATING 2016,2024,,POINT (-97.810719012 30.335267983),2,0,10/01/2023,09/30/2024,Austin,TX
,EMS Station #33 at Mueller,6045,4518 JAMES WHEAT ST,78723,0,0,0,0,0,,Silver,Other,Mueller LEED only,No,Commercial,LEED BD+C: New Construction v2 - LEED 2.2,2013,,POINT (-97.708572282 30.300063961),2,,10/01/2012,09/30/2013,Austin,TX
,Austin City Hall,115000,301 W 2ND ST,78701,0,0,0,0,0,,Gold,Office/Assembly,,Yes,Commercial,LEED BD+C: New Construction v2 – LEED 2.1,2006,,POINT (-97.747268005 30.264816997),4,,10/01/2005,09/30/2006,Austin,TX
,Best Buy at Mueller,29400,1201 BARBARA JORDAN BLVD 1,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2007,,POINT (-97.709006964 30.306354021),1,,10/01/2006,09/30/2007,Austin,TX
,Quarters Garage and Retail,73049,2222 RIO GRANDE ST,78705,1,0,0,0,0,1-star,,Residential/ Office/ Retail/ Other,University Neighborhood Overlay (UNO),No,Commercial,Commercial Rating 2006,2012,,POINT (-97.745506967 30.286559989),5,12,10/01/2011,09/30/2012,Austin,TX
,The Corner on San Gabriel,109455,2504 SAN GABRIEL ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.747783995 30.290131015),8,62,10/01/2017,09/30/2018,Austin,TX
,AISD LBJ Early College High School Theater Addition,10093,7309 LAZY CREEK DR,78724,0,0,0,1,0,4-star,,School,,Yes,Commercial,AISD Rating 2006,2007,,POINT (-97.65659199 30.313347001),1,,10/01/2006,09/30/2007,Austin,TX
,Soundcheck at Mueller,28985,1901 E 51ST ST,78723,0,0,1,0,0,3-star,,Office/ Other,Mueller Development (PUD),No,Commercial,Commercial Rating 2009,2013,,POINT (-97.696753963 30.301090018),1,,10/01/2012,09/30/2013,Austin,TX
,Fairmont Austin Hotel,1235825,101 RED RIVER ST,78701,0,1,0,0,0,2-star,,Hotel,"Downtown (CBD-DMU), Downtown CURE (CBD-CURE)",No,Commercial,Commercial Rating 2010,2018,,POINT (-97.738207 30.262126993),37,,10/01/2017,09/30/2018,Austin,TX
,360 Residential Condominiums,556201,360 NUECES ST,78701,1,0,0,0,0,1-star,,Residential/ Retail,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.749713006 30.267381021),44,430,10/01/2007,09/30/2008,Austin,TX
,Satellite Dialysis at Mueller,15100,1801 E 51ST ST G,78723,0,0,0,1,0,4-star,,Office/ Health Care,Mueller Development (PUD),No,Commercial,Commercial Rating 2010,2014,,POINT (-97.69830604 30.302518001),1,,10/01/2013,09/30/2014,Austin,TX
,Mueller Diamond,56404,1905 ALDRICH ST,78723,0,0,0,1,0,4-star,Gold,Office/ Retail/ Restaurant,Mueller Development (PUD),No,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.705266037 30.297886999),3,,10/01/2018,09/30/2019,Austin,TX
,LCRA Tensco Phase I,8970,3505 MONTOPOLIS DR,78744,0,1,0,0,0,2-star,,Office/Warehouse,,Yes,Commercial,Pilot Commercial Rating,2003,,POINT (-97.709840041 30.209182995),1,,10/01/2002,09/30/2003,Austin,TX
,Firestone Complete Auto Care,7654,10515 N MOPAC EXPY SVRD NB P,78759,1,0,0,0,0,1-star,,Retail,North Burnet/Gateway,No,Commercial,Commercial Rating 2010,2012,,POINT (-97.732443017 30.389556983),1,,10/01/2011,09/30/2012,Austin,TX
,AUS Consolidated Maintenance Facility,112688,10100 GOLF COURSE RD,78719,0,0,0,0,0,,Silver,Office/ Warehouse/ Other,,Yes,Commercial,LEED BD+C: New Construction v3 - LEED 2009,2022,,POINT (-97.652739264 30.206619334),4,,10/01/2021,09/30/2022,Austin,TX
,Austin Energy System Control Center,192200,2500 MONTOPOLIS DR,78741,0,0,0,1,0,4-star,Gold,Office,,Yes,Commercial,Commercial Rating 2009,2014,,POINT (-97.708727009 30.219931989),3,,10/01/2013,09/30/2014,Austin,TX
,Dell Jewish Community Center,37805,7300 HART LN,78731,0,1,0,0,0,2-star,,Office/ Other,Dell Jewish Community Center (PUD),No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.757154963 30.35742701),2,,10/01/2022,09/30/2023,Austin,TX
,Temple Beth Shalom,22085,7300 HART LN,78731,0,1,0,0,0,2-star,,Office/ Worship,Dell Jewish Community Center (PUD),No,Commercial,Commercial Rating 2010,2014,,POINT (-97.757154963 30.35742701),2,,10/01/2013,09/30/2014,Austin,TX
,The Stay Put,3109,73 RAINEY ST,78701,1,0,0,0,0,1-star,,Other,Rainey Street (CBD),No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.738680997 30.258291015),1,,10/01/2022,09/30/2023,Austin,TX
,Velocity Credit Union Braker Lane Branch,3949,1201 W BRAKER LN,78758,0,1,0,0,0,2-star,,Office/Bank,,Yes,Commercial,Pilot Commercial Rating,2004,,POINT (-97.693618041 30.384514011),1,,10/01/2003,09/30/2004,Austin,TX
,AISD Overton Elementary School,80445,7201 COLONY LOOP DR,78724,0,0,1,0,0,3-star,,School,,Yes,Commercial,AISD Rating 2006,2007,,POINT (-97.635997989 30.300327013),1,,10/01/2006,09/30/2007,Austin,TX
,Mueller Cinema Alamo Drafthouse,36559,1911 ALDRICH ST,78723,0,0,0,1,0,4-star,,Restaurant/ Other,Mueller Development (PUD),No,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.704329024 30.298674018),2,,10/01/2018,09/30/2019,Austin,TX
,WeWork,96654,801 BARTON SPRINGS RD,78704,0,0,1,0,0,3-star,,Office/ Restaurant,801 Barton Springs PUD,No,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.752735018 30.258694016),8,,10/01/2018,09/30/2019,Austin,TX
,rue21 at Mueller,5646,1201 BARBARA JORDAN BLVD UNIT 420,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.70985999 30.30557002),1,,10/01/2007,09/30/2008,Austin,TX
,Dell Childrens Medical Center CT Neuro Suite Addition at Mueller,11105,4900 MUELLER BLVD,78723,0,0,0,0,0,,Gold,Health care,Mueller LEED only,No,Commercial,LEED BD+C: New Construction v2 - LEED 2.1,2010,,POINT (-97.706609991 30.303677009),1,,10/01/2009,09/30/2010,Austin,TX
,Walsh Tarlton Office and Parking Garage,56700,2530 WALSH TARLTON LN,78746,1,0,0,0,0,1-star,,Office,Individual RC - 1 Star,No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.811400042 30.260338001),4,,10/01/2017,09/30/2018,Austin,TX
,AISD Performing Arts Center at Mueller,68365,1500 BARBARA JORDAN BLVD,78723,0,0,0,0,1,5-star,Gold,Other,Mueller Development (PUD),No,Commercial,Commercial Rating 2009,2015,,POINT (-97.702827993 30.304542985),2,,10/01/2014,09/30/2015,Austin,TX
,Domain 8 Office Building and Garage,300257,11601 ALTERRA PKWY,78758,0,0,0,0,0,,Silver,Office,"Domain (PDA), Domain - LEED only",No,Commercial,LEED BD+C: Core and Shell v3 - LEED 2009,2018,,POINT (-97.71885503 30.401981981),11,,10/01/2017,09/30/2018,Austin,TX
,S.W. Austin Lowe's,135000,6400 BRODIE LN,78745,0,0,0,1,0,4-star,Gold,Retail,,Yes,Commercial,LEED BD+C: New Construction v2 – LEED 2.0,2005,,POINT (-97.829475029 30.219508996),1,,10/01/2004,09/30/2005,Austin,TX
,Waterloo Central,40186,701 E 5TH ST,78701,1,0,0,0,0,1-star,,Office/ Retail,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.736327023 30.265017995),5,,10/01/2022,09/30/2023,Austin,TX
,AISD Bernice Kiker Elementary School Addition,12783,5913 LA CROSSE AVE,78739,0,1,0,0,0,2-star,,School,,Yes,Commercial,AISD Rating 2006,2008,,POINT (-97.881462024 30.191582004),1,,10/01/2007,09/30/2008,Austin,TX
,Yugo Austin Waterloo,379220,2400 SETON AVE,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.744164019 30.288083987),2,,10/01/2021,09/30/2022,Austin,TX
,AISD Pickle Elementary/St. John's Community Center,112362,1101 WHEATLEY AVE,78752,0,0,1,0,0,3-star,,School/Event Space,,Yes,Commercial,Pilot Commercial Rating,2002,,POINT (-97.69409296 30.332786017),1,,10/01/2001,09/30/2002,Austin,TX
,Natiivo,267750,48 EAST AVE,78701,0,1,0,0,0,2-star,,Residential/ Retail,"Downtown (CBD-DMU), Rainey Street (CBD), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2013,2022,,POINT (-97.73884897 30.256484002),2,0,10/01/2021,09/30/2022,Austin,TX
,City of Austin Fire Station #18 - Women's Locker Room Addition,300,6111 BERKMAN DR,78723,0,0,0,0,0,pilot,,Municipal,,Yes,Commercial,Pilot Commercial Rating,2007,,POINT (-97.691789063 30.315227311),1,,10/01/2006,09/30/2007,Austin,TX
,5th and West Residential,328150,501 WEST AVE,78701,0,0,1,0,0,3-star,,Residential,"Downtown (CBD-DMU), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.750615989 30.26953999),39,154,10/01/2018,09/30/2019,Austin,TX
,AISD McCallum High School Addition,27406,5600 SUNSHINE DR,78756,0,0,0,0,1,5-star,,School,,Yes,Commercial,Commercial Rating 2009,2011,,POINT (-97.730278977 30.326200021),1,,10/01/2010,09/30/2011,Austin,TX
,Bed Bath and Beyond at Mueller,25145,1201 BARBARA JORDAN BLVD 2,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2007,,POINT (-97.709006964 30.306354021),1,,10/01/2006,09/30/2007,Austin,TX
,The Grove - 3B & 3C,68303,2717 PERSEVERANCE DR,78731,0,1,0,0,0,2-star,,Retail/ Restaurant,The Grove (PUD),No,Commercial,COMMERCIAL RATING 2016,2020,,POINT (-97.754379354 30.318644168),3,,10/01/2019,09/30/2020,Austin,TX
,Neighbors Emergency Center at Mueller,15155,1801 E 51ST ST H,78723,0,0,1,0,0,3-star,,Health Care,Mueller Development (PUD),No,Commercial,Commercial Rating 2010,2017,,POINT (-97.69830604 30.302518001),1,,10/01/2016,09/30/2017,Austin,TX
,The Callaway House Austin,314980,505 W 22ND ST,78705,0,0,1,0,0,3-star,Certified,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Commercial,Commercial Rating 2010,2014,,POINT (-97.743487012 30.284745013),17,219,10/01/2013,09/30/2014,Austin,TX
,Block 71,1110478,200 W 6TH ST,78701,0,0,0,1,0,4-star,,Office/ Retail,"Downtown (CBD-DMU), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.74474698 30.268915999),36,0,10/01/2020,09/30/2021,Del Valle,TX
,Seton Healthcare Family Administration Offices (CSFHAO) at Mueller,156700,1345 PHILOMENA ST,78723,0,0,0,1,0,4-star,Silver,Office,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.708315038 30.301727001),4,,10/01/2008,09/30/2009,Austin,TX
,Prosperity Bank,4048,7001 W US 290 HWY EB,78735,1,0,0,0,0,1-star,,Office,,Yes,Commercial,Commercial Rating 2009,2013,,POINT (-97.87410951 30.23334542),1,,10/01/2012,09/30/2013,Austin,TX
,Sustainable Food Center,7700,2921 E 17TH ST,78702,0,0,0,1,0,4-star,,Office/ Other,,Yes,Commercial,Commercial Rating 2010,2014,,POINT (-97.710082027 30.277994983),2,,10/01/2013,09/30/2014,Austin,TX
,Travis County Civil and Family Courts Facility,462832,1700 GUADALUPE ST,78701,0,0,0,1,0,4-star,,Office/ Other,"Downtown (CBD-DMU), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.742715039 30.28010299),12,,10/01/2022,09/30/2023,Austin,TX
,Westminster,248000,4100 JACKSON AVE,78731,0,0,1,0,0,3-star,,Residential/ Other,,Yes,Commercial,Commercial Rating 2008,2014,,POINT (-97.755586038 30.316046016),5,212,10/01/2013,09/30/2014,Austin,TX
,Mosaic at Mueller,432720,4600 MUELLER BLVD,78723,0,0,1,0,0,3-star,,Residential/ Retail,"Mueller Development (PUD), S.M.A.R.T. Housing",No,Commercial,Commercial Rating 2006,2010,,POINT (-97.708160979 30.29896202),4,433,10/01/2009,09/30/2010,Austin,TX
,Restoration Hardware at the Domain,48265,11720 DOMAIN BLVD,78758,0,0,0,0,0,,Gold,Retail,Domain (PDA),No,Commercial,LEED BD+C: Retail v3 - LEED 2009,2016,,POINT (-97.721329032 30.403260011),4,,10/01/2015,09/30/2016,Austin,TX
,1705 Guadalupe Street,48500,1705 GUADALUPE ST,78701,1,0,0,0,0,1-star,,Office,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.74191901 30.27997701),5,,10/01/2017,09/30/2018,Austin,TX
,1401 Philomena at Mueller,126587,1401 PHILOMENA ST,78723,0,0,1,0,0,3-star,Gold,Office,Mueller Development (PUD),No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.707178033 30.301246005),5,,10/01/2022,09/30/2023,Austin,TX
,La Vista de Guadalupe,39368,813 E 8TH ST,78702,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Commercial,Commercial Rating 2006,2009,,POINT (-97.732896981 30.267085014),4,22,10/01/2008,09/30/2009,Austin,TX
,Govalle Elementary School,80800,3601 GOVALLE AVE,78702,0,0,0,1,0,4-star,Silver,School,,Yes,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.698340992 30.263795997),3,,10/01/2021,09/30/2022,Austin,TX
,Gables Park Tower,325350,111 SANDRA MURAIDA WAY,78703,0,0,0,1,0,4-star,,Residential/ Retail,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2017,,POINT (-97.754166982 30.267467019),18,222,10/01/2016,09/30/2017,Austin,TX
,The Standard at Austin,440272,715 W 23RD ST,78705,1,0,0,0,0,1-star,,Residential/ Retail,University Neighborhood Overlay (UNO),No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.745806034 30.286987005),17,277,10/01/2020,09/30/2021,Austin,TX
,University Federal Credit Union - Ben White Branch,5907,130 E BEN WHITE BLVD,78704,0,0,0,0,1,5-star,,Other,,Yes,Commercial,Commercial Rating 2006,2009,,POINT (-97.762360041 30.223221006),1,,10/01/2008,09/30/2009,Austin,TX
,Austin Lyric Opera,18716,901 BARTON SPRINGS RD,78704,0,0,0,0,0,pilot,,Office/Event Space,,Yes,Commercial,Pilot Commercial Rating,2000,,POINT (-97.753812008 30.259442981),3,,10/01/1999,09/30/2000,Austin,TX
,Domain 1 Office Building and Garage,168200,11801 DOMAIN BLVD,78758,0,0,0,0,0,,Gold,Office/ Retail,Domain (PDA),No,Commercial,LEED BD+C: Core and Shell v3 - LEED 2009,2017,,POINT (-97.720954026 30.404738998),5,,10/01/2016,09/30/2017,Austin,TX
,Next Door Creative,20800,1224 E 12TH ST,78702,0,0,1,0,0,3-star,,Office/ Other,,Yes,Commercial,COMMERCIAL RATING 2013,2020,,POINT (-97.726713986 30.272879005),3,,10/01/2019,09/30/2020,Austin,TX
,Wachovia Bank at Mueller,4000,1201 BARBARA JORDAN BLVD 10,78723,0,0,1,0,0,3-star,,Office,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2007,,POINT (-97.709532007 30.30662199),1,,10/01/2006,09/30/2007,Austin,TX
,Fashionique at Mueller,1390,1201 BARBARA JORDAN BLVD,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.709006964 30.306354021),1,,10/01/2008,09/30/2009,Austin,TX
,Next Door Restaurant,4554,201 BRAZOS ST,78701,1,0,0,0,0,1-star,,Restaurant,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2016,2019,,POINT (-97.742438017 30.264092004),2,,10/01/2018,09/30/2019,Austin,TX
,People's Community Clinic,59346,1101 CAMINO LA COSTA,78752,0,1,0,0,0,2-star,,Health Care,,Yes,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.699487972 30.323963016),2,,10/01/2017,09/30/2018,Austin,TX
,Colorado Tower,430000,303 COLORADO ST,78701,0,0,1,0,0,3-star,,Office/ Retail/ Restaurant,"Downtown (CBD-DMU), Downtown CURE (CBD-CURE)",No,Commercial,Commercial Rating 2010,2015,,POINT (-97.744683026 30.265885019),30,,10/01/2014,09/30/2015,Austin,TX
,Austin Energy Headquarters,275000,4815 MUELLER BLVD,78723,0,0,0,0,1,5-star,,Office,Mueller Development (PUD),No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.704676035 30.30156502),24,0,10/01/2021,09/30/2022,Austin,TX
,Republic Square,416891,401 Guadalupe St,78701,0,1,0,0,0,2-star,Certified,Residential/ Restaurant/ Hotel,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2021,,POINT (-97.746616983 30.267500002),25,221,10/01/2020,09/30/2021,Austin,TX
,Torre Student Housing,215913,2020 NUECES ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.744472976 30.283767013),19,153,10/01/2020,09/30/2021,Austin,TX
