Organization,Project Name,Project (sq.ft.),Project Address,Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State
,HillTop Student Housing,224730,2400 SAN GABRIEL ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.748104016 30.28839001),8,142,10/01/2020,09/30/2021,Austin,TX
,Doss Elementary School,145372,7005 NORTHLEDGE DR,78731,0,0,0,1,0,4-star,,School,,Yes,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.760063986 30.355178984),5,,10/01/2021,09/30/2022,Austin,TX
,SkyHouse Austin,339730,51 RAINEY ST,78701,1,0,0,0,0,1-star,,Residential/ Retail,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2014,,POINT (-97.739208973 30.256889979),23,320,10/01/2013,09/30/2014,Austin,TX
,City of Austin Fire Station #15 - Women's Locker Room Addition,220,829 AIRPORT BLVD,78702,0,0,0,0,0,pilot,,Municipal,,Yes,Commercial,Pilot Commercial Rating,2007,,POINT (-97.69268698 30.256909006),1,,10/01/2006,09/30/2007,Austin,TX
,Pressler Apartments,221060,507 PRESSLER ST,78703,1,0,0,0,0,1-star,,Residential,,Yes,Commercial,Commercial Rating 2008,2010,,POINT (-97.76006298 30.27285499),5,169,10/01/2009,09/30/2010,Austin,TX
,CVS Pharmacy #11306,14724,7101 E WILLIAM CANNON DR,78744,0,1,0,0,0,2-star,,Retail,Pilot Knob (PUD),No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.725839775 30.163039405),1,,10/01/2022,09/30/2023,Austin,TX
,21 Pearl - West Campus Apartments,106000,911 W 21ST ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Commercial,Commercial Rating 2006,2013,,POINT (-97.747113024 30.284636007),6,135,10/01/2012,09/30/2013,Austin,TX
,"Austin Children's Shelter, General Services Building",,sensitive location,78723,0,0,1,0,0,3-star,,Office,Mueller Development (PUD),No,Commercial,Commercial Rating 2007,2011,,POINT (-97.6999965 30.2935393),1,,10/01/2010,09/30/2011,Austin,TX
,Austin Habitat for Humanity Warehouses,18424,3300 S US HWY 183,78744,1,0,0,0,0,1-star,,Office/ Warehouse,,Yes,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.683833145 30.201569314),1,,10/01/2022,09/30/2023,Austin,TX
,Trails at Vintage Creek Learning Center,4600,7224 NORTHEAST DR,78723,0,1,0,0,0,2-star,,Office/Event Space,,Yes,Commercial,Pilot Commercial Rating,2005,,POINT (-97.680220994 30.321530001),2,,10/01/2004,09/30/2005,Austin,TX
,Braker Pointe #3,203268,10801 N MOPAC EXPY SVRD NB 1,78759,0,0,1,0,0,3-star,,Office,,Yes,Commercial,Pilot Commercial Rating,2001,,POINT (-97.730208988 30.397183006),4,,10/01/2000,09/30/2001,Austin,TX
,Ronald McDonald House Charities,28240,1315 BARBARA JORDAN BLVD,78723,0,0,0,0,0,,Platinum,Office,Mueller LEED only,No,Commercial,LEED BD+C: New Construction v2 - LEED 2.1,2009,,POINT (-97.70689397 30.304681999),4,,10/01/2008,09/30/2009,Austin,TX
,Cirrus Logic Phase II,15921,710 W 7TH ST,78701,1,0,0,0,0,1-star,,Office,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2019,,POINT (-97.749809985 30.271391007),8,,10/01/2018,09/30/2019,Austin,TX
,Southpark Meadows,303777,9500 S IH 35 SVRD,78748,0,1,0,0,0,2-star,,Office/ Retail/ Restaurant,,Yes,Commercial,Commercial Rating 2006,2010,,POINT (-97.79063899 30.160989985),1,,10/01/2009,09/30/2010,Austin,TX
,DOTS Fashion at Mueller,4070,1201 BARBARA JORDAN BLVD UNIT 309,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.709006964 30.306354021),1,,10/01/2007,09/30/2008,Austin,TX
,Canopy Hotel Austin,87027,612 W 6TH ST,78701,0,0,1,0,0,3-star,,Restaurant/ Hotel,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.749006999 30.270079994),29,347,10/01/2021,09/30/2022,Austin,TX
,BJ's Restaurant & Brewhouse,7453,10515 N MOPAC EXPY SVRD NB B UNIT 200,78759,1,0,0,0,0,1-star,,Restaurant,North Burnet/Gateway,No,Commercial,Commercial Rating 2010,2017,,POINT (-97.732443017 30.389556983),1,,10/01/2016,09/30/2017,Austin,TX
,Texas PTA,20185,408 W 11TH ST,78701,1,0,0,0,0,1-star,,Office/ Restaurant/ Other,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2017,,POINT (-97.744941021 30.274037006),5,,10/01/2016,09/30/2017,Austin,TX
,in.gredients,1850,2610 MANOR RD,78722,1,0,0,0,0,1-star,,Grocery,,Yes,Commercial,Commercial Rating 2010,2015,,POINT (-97.714483029 30.285340003),2,,10/01/2014,09/30/2015,Austin,TX
,Domain Y2 Retail Building,18800,11700 DOMAIN BLVD,78758,0,1,0,0,0,2-star,,Retail,Domain (PDA),No,Commercial,Commercial Rating 2010,2018,,POINT (-97.720973975 30.403093002),1,,10/01/2017,09/30/2018,Austin,TX
,Whole Foods Market - East Block Office Building,145150,501 BOWIE ST,78703,0,1,0,0,0,2-star,,Office,"Downtown (CBD-DMU), Downtown CURE (CBD-CURE)",No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.753061994 30.269808073),6,0,10/01/2021,09/30/2022,Austin,TX
,Hilton Garden Inn,103906,2600 Brockton Drive,78758,1,0,0,0,0,1-star,,Hotel,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.719374037 30.393107012),5,0,10/01/2020,09/30/2021,Austin,TX
,AISD Akins High School Addition #1,17500,10701 S 1ST ST,78748,0,1,0,0,0,2-star,,School,,Yes,Commercial,AISD Rating 2006,2009,,POINT (-97.800974966 30.148788993),1,,10/01/2008,09/30/2009,Austin,TX
,JW Marriott Austin,1005815,110 E 2ND ST,78701,0,0,0,1,0,4-star,,Retail/ Restaurant/ Hotel/ Other,,Yes,Commercial,Commercial Rating 2010,2016,,POINT (-97.743301018 30.26454798),33,,10/01/2015,09/30/2016,Austin,TX
,Oracle Waterfront Campus,560000,2300 ORACLE WAY,78741,0,0,0,1,0,4-star,,Office,Lakeshore (PUD),No,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.721168016 30.242024004),8,,10/01/2018,09/30/2019,Austin,TX
,Tino's Greek Café at Mueller,2367,1201 BARBARA JORDAN BLVD UNIT 1230,78723,0,1,0,0,0,2-star,,Restaurant,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2012,,POINT (-97.70985999 30.30557002),1,,10/01/2011,09/30/2012,Austin,TX
,Domain 11,336327,11920 ALTERRA PKWY,78758,0,0,1,0,0,3-star,Gold,Office/ Retail,"Domain (PDA), Domain - LEED only",No,Commercial,LEED BD+C: Core and Shell v3 - LEED 2009,2019,,POINT (-97.719620968 30.405286001),16,,10/01/2018,09/30/2019,Austin,TX
,Whisper Valley Discovery and Amenity Center,6080,9400 PETRICHOR BLVD,78653,0,0,1,0,0,3-star,,Office/ Other,Whisper Valley (PUD),No,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.55381896 30.292684981),1,,10/01/2018,09/30/2019,Manor,TX
,Texas Bankers Association Headquarters,107652,203 W 10TH ST,78701,1,0,0,0,0,1-star,,Office/ Retail,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.743431021 30.272106989),10,,10/01/2022,09/30/2023,Austin,TX
,Marshalls at Mueller,28750,1201 BARBARA JORDAN BLVD 3,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2007,,POINT (-97.709006964 30.306354021),1,,10/01/2006,09/30/2007,Austin,TX
,Randolph Brooks Federal Credit Union - Burnet Branch,4075,10712 BURNET RD,78758,0,0,1,0,0,3-star,,Office,Domain (PDA),No,Commercial,Commercial Rating 2010,2013,,POINT (-97.721989023 30.392329004),1,,10/01/2012,09/30/2013,Austin,TX
,Hyatt Place Airport,77815,9532 SPIRIT OF AUSTIN LN,78719,0,1,0,0,0,2-star,,Hotel,,Yes,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.665077996 30.210609008),4,,10/01/2017,09/30/2018,Austin,TX
,AISD Hart Elementary School,11020,8301 FURNESS DR,78753,0,0,1,0,0,3-star,,School,,Yes,Commercial,Commercial Rating 2009,2012,,POINT (-97.688061007 30.342464014),1,,10/01/2011,09/30/2012,Austin,TX
,Carver Library,15739,1161 ANGELINA ST,78702,0,0,0,0,0,,Certified,Library,,Yes,Commercial,LEED BD+C: New Construction v2 – LEED 2.1,2006,,POINT (-97.724265967 30.269948021),1,,10/01/2005,09/30/2006,Austin,TX
,City of Austin Fire Station #6 - Women's Locker Room Addition,230,1701 S CONGRESS AVE,78704,0,0,0,0,0,pilot,,Municipal,,Yes,Commercial,Pilot Commercial Rating,2007,,POINT (-97.750355982 30.246792007),1,,10/01/2006,09/30/2007,Austin,TX
,Origin Hotel Austin,70904,1825 MC BEE ST,78723,0,0,1,0,0,3-star,Silver,Retail/ Hotel,Mueller Development (PUD),No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.70464324 30.29812542),5,,10/01/2022,09/30/2023,Austin,TX
,Residence Inn at Mueller,82150,1209 E 51ST ST,78723,0,0,0,0,0,,Silver,Hotel,Mueller LEED only,No,Commercial,LEED BD+C: New Construction v2 - LEED 2.2,2014,,POINT (-97.70721902 30.307286005),4,,10/01/2013,09/30/2014,Austin,TX
,AISD Guerrero Thompson Elementary School,98775,102 E RUNDBERG LN,78753,0,0,0,1,0,4-star,Silver,School,,Yes,Commercial,Commercial Rating 2009,2014,,POINT (-97.692615985 30.361815985),2,,10/01/2013,09/30/2014,Austin,TX
,Austin Federal Credit Union Main Office,6588,1900 WOODWARD ST,78741,0,1,0,0,0,2-star,,Office/Bank,,Yes,Commercial,Pilot Commercial Rating,2004,,POINT (-97.743399002 30.219539004),1,,10/01/2003,09/30/2004,Austin,TX
,St. David's North Austin Medical Center Women's Services Expansion,85168,12221 N MOPAC EXPY SVRD NB,78758,0,1,0,0,0,2-star,,Health Care,North Austin Medical Center PUD,No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.707943084 30.412279184),4,,10/01/2022,09/30/2023,Austin,TX
,Mueller Retail Building 6,6450,1201 BARBARA JORDAN BLVD 6,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.709006964 30.306354021),1,,10/01/2017,09/30/2018,Austin,TX
,The Quincy,425223,91 RED RIVER ST,78701,0,1,0,0,0,2-star,,Residential/ Office/ Retail,"Downtown (CBD-DMU), Rainey Street (CBD), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.738735982 30.260881987),17,0,10/01/2021,09/30/2022,Austin,TX
,1400 Lavaca Office Building,150700,1400 LAVACA ST,78701,0,1,0,0,0,2-star,,Office/ Restaurant/ Other,"Downtown (CBD-DMU), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2016,2019,,POINT (-97.742725014 30.277083996),13,,10/01/2018,09/30/2019,Austin,TX
,Home2 Suites by Hilton,81585,2800 ESPERANZA XING,78758,1,0,0,0,0,1-star,,Hotel,North Burnet/Gateway,No,Commercial,Commercial Rating 2010,2015,,POINT (-97.718582031 30.398529014),5,,10/01/2014,09/30/2015,Austin,TX
,Cava Domain,3020,10808 DOMAIN DR,78758,1,0,0,0,0,1-star,,Restaurant,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2016,2020,,POINT (-97.726524974 30.394163006),1,0,10/01/2019,09/30/2020,Austin,TX
,Prominent Point II,105357,8310 N CAPITAL OF TEXAS HWY SB,78731,1,0,0,0,0,1-star,,Office,,Yes,Commercial,Commercial Rating 2006,2010,,POINT (-97.768382019 30.385893001),3,,10/01/2009,09/30/2010,Austin,TX
,First Lockhart National Bank,7020,319 W SLAUGHTER LN,78748,1,0,0,0,0,1-star,,Office,,Yes,Commercial,Commercial Rating 2010,2017,,POINT (-97.795922019 30.168584995),2,,10/01/2016,09/30/2017,Austin,TX
,Central Texas Food Bank,133714,6500 METROPOLIS DR,78744,0,0,1,0,0,3-star,,Office/ Warehouse/ Other,,Yes,Commercial,Commercial Rating 2013,2017,,POINT (-97.709840041 30.203701984),1,,10/01/2016,09/30/2017,Austin,TX
,216 East Fourth Street,18015,216 E 4TH ST,78701,0,0,0,0,0,pilot,,Office/Event Space,,Yes,Commercial,Pilot Commercial Rating,2000,,POINT (-97.741328002 30.265892018),3,,10/01/1999,09/30/2000,Austin,TX
,Austin Central Library,198588,710 W CESAR CHAVEZ ST,78701,0,0,0,0,0,,Platinum,Other,,Yes,Commercial,LEED BD+C: New Construction v3 - LEED 2009,2019,,POINT (-97.751692979 30.266101984),6,,10/01/2018,09/30/2019,Austin,TX
,St. David's Parking Garage and Medical Office Bldg,81890,919 E 32ND ST,78705,1,0,0,0,0,1-star,,Health Care,St. David's Medical Center (PUD),No,Commercial,Commercial Rating 2008,2011,,POINT (-97.725881998 30.289889993),8,,10/01/2010,09/30/2011,Austin,TX
,AISD Bowie High School Addition,9078,4103 W SLAUGHTER LN,78749,0,0,1,0,0,3-star,,School,,Yes,Commercial,Commercial Rating 2009,2011,,POINT (-97.859346037 30.186825986),1,,10/01/2010,09/30/2011,Austin,TX
,Moontower,278630,2204 SAN ANTONIO ST,78705,1,0,0,0,0,1-star,,Residential/ Retail,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.743146037 30.285658012),18,166,10/01/2020,09/30/2021,Austin,TX
,Google in The Scarbrough Building,24673,101 W 6TH ST,78701,1,0,0,0,0,1-star,,Office,,Yes,Commercial,Commercial Rating 2007,2018,,POINT (-97.742903963 30.26802388),1,,10/01/2017,09/30/2018,Austin,TX
,Penn Field Office,41785,3601 S CONGRESS AVE E,78704,1,0,0,0,0,1-star,,Office,,Yes,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.761625413 30.227104667),2,0,10/01/2020,09/30/2021,Austin,TX
,College Houses - Nueces,65536,1905 NUECES ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.74381902 30.283086989),8,178,10/01/2008,09/30/2009,Austin,TX
,Domain 2 Office Building,145790,11800 DOMAIN BLVD,78758,0,0,0,0,0,,Silver,Office/ Retail/ Restaurant,Domain (PDA),No,Commercial,LEED BD+C: Core and Shell v2 - LEED 2.0,2015,,POINT (-97.721588033 30.404683007),5,,10/01/2014,09/30/2015,Austin,TX
,Bowie High School - Athletics Building,75049,4103 W SLAUGHTER LN,78759,0,0,0,1,0,4-star,,School,,Yes,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.859346037 30.186825986),2,,10/01/2022,09/30/2023,Austin,TX
,AISD Barbara Jordan Elementary School Addition,12206,6711 JOHNNY MORRIS RD,78724,0,1,0,0,0,2-star,,School,,Yes,Commercial,AISD Rating 2006,2009,,POINT (-97.64679497 30.300896019),1,,10/01/2008,09/30/2009,Austin,TX
,Wheatsville Addition,8865,3101 GUADALUPE ST,78705,1,0,0,0,0,1-star,,Grocery,,Yes,Commercial,Commercial Rating 2006,2018,,POINT (-97.741052992 30.297608008),1,,10/01/2017,09/30/2018,Austin,TX
,Domain 9,332597,2904 PALM WAY,78758,0,0,0,0,0,,Gold,Office,Domain (PDA),No,Commercial,LEED BD+C: Core and Shell v3 - LEED 2009,2023,,POINT (-97.718598963 30.403019996),18,,10/01/2022,09/30/2023,Austin,TX
,The Bowen,398875,3000 GRACIE KILTZ LN,78758,1,0,0,0,0,1-star,,Residential,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.722491506 30.394442699),3,3,10/01/2021,09/30/2022,Austin,TX
,Lakeline Montessori School,9480,10500 LAKELINE BLVD,78717,0,1,0,0,0,2-star,,School,Leander Rehabilitation (PUD),No,Commercial,COMMERCIAL RATING 2016,2020,,POINT (-97.790157617 30.48199852),1,0,10/01/2019,09/30/2020,Austin,TX
,Dell Children Medical Center 4th Bed Tower Expansion,120000,4900 MUELLER BLVD,78723,0,0,0,0,1,5-star,,Health Care,Mueller Development (PUD),No,Commercial,COMMERCIAL RATING 2016,2024,,POINT (-97.706609991 30.303677009),5,,10/01/2023,09/30/2024,Austin,TX
,BartonPlace,382844,1600 BARTON SPRINGS RD,78704,0,0,1,0,0,3-star,,Residential,,Yes,Commercial,Commercial Rating 2007,2011,,POINT (-97.760990019 30.263105999),6,270,10/01/2010,09/30/2011,Austin,TX
,AISD Perez Elementary School,171000,7500 S PLEASANT VALLEY RD,78744,0,1,0,0,0,2-star,,School,,Yes,Commercial,AISD Rating 2006,2007,,POINT (-97.755808997 30.170478006),1,,10/01/2006,09/30/2007,Austin,TX
,All Austin Cooperative Nursery School,4617,2301 HANCOCK DR,78756,1,0,0,0,0,1-star,,School,,Yes,Commercial,Pilot Commercial Rating,2003,,POINT (-97.743078981 30.324172983),1,,10/01/2002,09/30/2003,Austin,TX
,LifeWorks Sooch Foundation Youth and Family Resource Center,31116,835 N PLEASANT VALLEY RD,78702,0,0,0,0,1,5-star,,Office/ Other,,Yes,Commercial,Commercial Rating 2009,2013,,POINT (-97.707619005 30.264893985),3,,10/01/2012,09/30/2013,Austin,TX
,Mueller Market District,31130,1801 E 51ST ST A UNIT 200,78723,0,0,1,0,0,3-star,Silver,Retail/ Restaurant,Mueller Development (PUD),No,Commercial,Commercial Rating 2010,2015,,POINT (-97.69830604 30.302518001),1,,10/01/2014,09/30/2015,Austin,TX
,Lane Bryant at Mueller,5259,1201 BARBARA JORDAN BLVD 4 UNIT 400,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.70985999 30.30557002),1,,10/01/2007,09/30/2008,Austin,TX
,Which Wich at Mueller,1753,1201 BARBARA JORDAN BLVD 12 UNIT 1210,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.70985999 30.30557002),1,,10/01/2007,09/30/2008,Austin,TX
,Whole Foods Market at the Domain,67400,11920 DOMAIN DR,78758,0,0,0,1,0,4-star,,Grocery,Domain (PDA),No,Commercial,Commercial Rating 2009,2014,,POINT (-97.720096976 30.406333991),1,,10/01/2013,09/30/2014,Austin,TX
,Hyatt House,133070,901 NECHES ST,78701,1,0,0,0,0,1-star,,Hotel,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.736858017 30.269693001),10,,10/01/2017,09/30/2018,Austin,TX
,Villas on Rio,352279,2111 RIO GRANDE ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.744766007 30.284772003),19,283,10/01/2020,09/30/2021,Austin,TX
,AISD Graham Elementary School,12000,11211 TOM ADAMS DR,78753,0,0,1,0,0,3-star,,School,,Yes,Commercial,AISD Rating 2006,2009,,POINT (-97.669088988 30.372664011),1,,10/01/2008,09/30/2009,Austin,TX
,Crossings at Lakeline - 1,113715,11001 LAKELINE BLVD 1,78717,1,0,0,0,0,1-star,,Office,,Yes,Commercial,Commercial Rating 2006,2010,,POINT (-97.794551746 30.480061085),3,,10/01/2009,09/30/2010,Austin,TX
,Club Wyndham Austin,212250,516 W 8TH ST,78701,0,1,0,0,0,2-star,,Residential,"Downtown (CBD-DMU), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2013,2017,,POINT (-97.747190975 30.271663),22,196,10/01/2016,09/30/2017,Austin,TX
,Rock Rose at The Domain NORTHSIDE,73905,11600 ROCK ROSE AVE,78758,0,0,1,0,0,3-star,,Retail/ Restaurant/ Other,Domain (PDA),No,Commercial,Commercial Rating 2010,2016,,POINT (-97.722702994 30.401909016),1,,10/01/2015,09/30/2016,Austin,TX
,Schwab - AUSA,81225,2309 GRACY FARMS LN,78758,1,0,0,0,0,1-star,,Other,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2013,2020,,POINT (-97.711489013 30.400062986),2,,10/01/2019,09/30/2020,Austin,TX
,The Grove - 3A,138268,4301 BULL CREEK RD,78731,0,1,0,0,0,2-star,,Office,The Grove (PUD),No,Commercial,COMMERCIAL RATING 2016,2020,,POINT (-97.753847967 30.318010985),4,,10/01/2019,09/30/2020,Austin,TX
,Gables Park Plaza,307578,115 SANDRA MURAIDA WAY,78703,0,1,0,0,0,2-star,,Residential,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2007,2010,,POINT (-97.754822028 30.268112007),8,294,10/01/2009,09/30/2010,Austin,TX
,SOUTH SHORE IV,385661,1115 TOWN CREEK DR,78741,0,1,0,0,0,2-star,,Residential,Lakeshore (PUD),No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.725156964 30.244052005),8,322,10/01/2020,09/30/2021,Austin,TX
,Four Points,200000,11305 FOUR POINTS DR,78730,1,0,0,0,0,1-star,,Office,,Yes,Commercial,Commercial Rating 2006,2009,,POINT (-97.849887981 30.404812005),3,,10/01/2008,09/30/2009,Austin,TX
,Villas on Rio,145056,2100 RIO GRANDE ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Commercial,COMMERCIAL RATING 2016,2019,,POINT (-97.745335976 30.284288996),7,109,10/01/2018,09/30/2019,Austin,TX
,501 Congress & Parking Garage,123435,501 CONGRESS AVE,78701,1,0,0,0,0,1-star,,Office/ Retail/ Restaurant,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2016,,POINT (-97.742623006 30.267294981),5,,10/01/2015,09/30/2016,Austin,TX
,Research Park Plaza V and Garage,180375,12301 RESEARCH BLVD,78759,1,0,0,0,0,1-star,,Office,,Yes,Commercial,Commercial Rating 2013,2016,,POINT (-97.754653971 30.429288),4,,10/01/2015,09/30/2016,Austin,TX
,701 Rio,122859,701 RIO GRANDE,78701,1,0,0,0,0,1-star,,Office/ Retail,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.748726037 30.271061012),5,0,10/01/2020,09/30/2021,Austin,TX
,5th+Colorado,194539,201 W 5TH ST,78701,1,0,0,0,0,1-star,,Office/ Retail/ Restaurant,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2013,2017,,POINT (-97.745003969 30.267339992),19,,10/01/2016,09/30/2017,Austin,TX
,Papa John's Pizza at Mueller,1355,1201 BARBARA JORDAN BLVD BLDG 11 UNIT 150,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.709006964 30.306354021),1,,10/01/2008,09/30/2009,Austin,TX
